EIC;Name;MeteringPointCode_Prefix
19XGORAZDZE-CEMM;G”RAØDØE CEMENT SP”£KA AKCYJNA;
19XHUTA-BANKOWA8;HUTA BANKOWA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XPADRESSTARGAP;PAD RES STARGARD DYSTRYBUCJA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XPL00000ESV7-Y;ESV7 Sp. z o.o.;
19XPL00000ESV9-S;ESV9 Sp. z o.o.;
19XSOPLA-OSDN-17;SOPLA SP ZOO;
19XTBENERGIA000S;TB ENERGIA SP. Z O.O.;
19XVEOLIA-LODZ-0;VEOLIA ENERGIA £”Dè SP”£KA AKCYJNA;
19X1997ENST19970;"ZAK£AD ENERGOELEKTRYCZNY ""ENERGO-STIL"" SP”£KA Z OGRANICZON• ODPOWIED";
19X5782593866--5;ZAK£AD US£UG TECHNICZNYCH MEGA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XECMIELEC----2;ELEKTROCIEPLOWNIA MIELEC SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA;
19XELANA-OSDNXXJ;BORYSZEW GREEN ENERGY&GAS SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XENERGIA-TIEWD;TOWARZYSTWO INWESTYCYJNE ELEKTROWNIA WSCH”D S.A.;
19XENWOS-------7;PRZEDSI BIORSTWO ENERGETYKI CIEPLNEJ I GOSPODARKI WODNO-åCIEKOWEJ EÖ;
19XERG-SA-DG---H;ERG SA;
19X-PL-GGL-GLD-4;Green-Lights Dystrybucja spÛ≥ka z oganiczonπ odpowiedzialnoúciπ;
19X-WE-ZCP----14;W GLOKOKS ENERGIA ZCP sp. z o.o.;
19X000000ENELUBW;"""ENERGETYKA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•""";
19XKOK---------5;JSW KOKS S.A.;
19XOSDN5990013T2;ZKLASTER DYSTRYBUCJA SP.Z O.O,;
19XPAL1SPZOO--12;PAL1 SP.ZO.O.;
19XPGNIG-TEP-SA9;PGNIG TERMIKA ENERGETYKA PRZEMYS£OWA SP”£KA AKCYJNA;
19XPL-ZROSTRPPHN;"PRZEDSI BIORSTWO PRODUKCYJNO-HANDLOWO-US£UGOWE ""ADM"" S.C.";
19XPL00000ESV4-6;ESV4 Sp. z o.o.;
19XPL00000ESV8-V;ESV8 Sp. z o.o.;
19XPL00000GONAR9;GONAR - BIS SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XPLUS-ENERGIAL;PLUS ENERGIA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XPOLDYSSPZOO-8;POLENERGIA Dystrybucja Spolka z Ograniczona Odpowiedzialnoscia;
19XPOLONTEX----O;POLONTEX SP”£KA AKCYJNA;
19XPORTGDANSKPLL;ZARZ•D MORSKIEGO PORTU GDA—SK S.A.;
19XPOWER21-----Y;POWER 21 SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XACPRO2------S;ACPRO SP.ZOO 2ZP,K,;
19XEMPOLENERGIAC;EMPOL ENERGIA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XENERGETYKAUN8;ENERGETYKA UNIEJ”W;
19X7770000755--F;VEOLIA ENERGIA POZNA— SA;
19XAKADEMIA-SL-8;AKADEMIA åL•SKA;
19XCHEMAR-PL---W;CHEMAR S.A.;
19XCSP-SA------R;CIECH SODA POLSKA S.A.;
19XELCO-EN-2137P;ELCOENERGY SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XENDM-1414011P;ENERGETYKA NOWY DW”R MAZOWIECKI SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI;
19XENERGIAPROPLH;TAURON DYSTRYBUCJA SP”£KA AKCYJNA;
19XENX0000000017;FIELDON INVESTMENTS SP Z O O GRYF SP J;
19XFPMSA-OSDN--K;FPM SP”£KA AKCYJNA;
19XGRUPA-EN-GEOS;GRUPA ENERGIA OBR”T GE SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI• SPK;
19XHUTAPOKOJ-SA7;HUTA POK”J SP”£KA AKCYJNA;
19XPADRESSZTUM1U;PAD RES SZTUM SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XPAL2SPZOO--1T;PAL2 SP.ZO.O.;
19XPKPENERGETYKS;PGE ENERGETYKA KOLEJOWA SP”£KA AKCYJNA;
19XPS1PILKSAND-G;PILKINGTON POLSKA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XWINDFIELDKOR3;WIND FIELD KORYTNICA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XZAMET-BUDOWAB;ZAMET-BUDOWA MASZYN SP”£KA AKCYJNA;
19XCEMENTOWNIAW6;CEMENTOWNIA WARTA SA;
19XENERGOS-OSDNU;ENERGOSTREFA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19X-PL-GGL-GLH-T;Green-Lights Holding spÛ≥ka z ograniczonπ odpowiedzialnoúciπ;
19X00000STPPL22Y;STALPRODUKT SP”£KA AKCYJNA;
19XSRKSA-ENERG-P;SpÛ≥ka Restrukturyzacji KopalÒ SpÛ≥ka Akcyjna;
19XTELBISENERG0L;TELENERG-BIS ENERGIA SP. Z O.O.;
19XUNIHUT------O;UNIHUT SP”£KA AKCYJNA;
19XCS-OSDN411003;CIEP£OWNIA SIEMIANOWICE SP.Z O.O.;
19XDOZAMEL-SA--2;DOZAMEL SP. Z O.O.;
19XELTRONIKACPR7;ELTRONIK ACPRO SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI• SP”£KA KOMANDYT;
19XENEAOPERATOR1;ENEA Operator SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;
19XKAMIR-------5;Mirowski i SpÛ≥ka ÑKAMIRî SpÛ≥ka Jawna;
19XLERGPUSTKOW1O;LERG SP”£KA AKCYJNA;
19XOSDN-PZLS-SA6;WYTW”RNIA SPRZ TU KOMUNIKACYJNEGO ÑPZL-åWIDNIKÑ SP”£KA AKCYJNA;
19XPL0000ENRAK-6;Energetyka RakÛw Sp. z o.o.;
19XPL000ESVMET-Q;ESV Metalchem Sp. z o.o.;
19XPLSWW0150200W;GRUPA K TY S.A.;
19XPORTGDYNIA22D;ZARZ•D MORSKIEGO PORTU GDYNIA SA;
19XPORTSZCZ-SWI8;ZARZ•D MORSKICH PORT”W SZCZECIN I åWINOUJåCIE SP”£KA AKCYJNA;
19XRAMPTONSPZOOW;RAMPTON SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XSTOENOP-----B;STOEN OPERATOR SP. Z O.O.;
19XTB2ENERGIA00H;TB2 ENERGIA SP. Z O.O.;
19XWIND-SERVICEB;WIND SERVICE DYSTRYBUCJA SP. Z O O;
19X7743219455MZS;MAZOVIAN ENERGY PARTNERS SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XCICHSARZYNAQ6;QEMETICA AGRICULTURAL SOLUTIONS POLAND SP”£KA AKCYJNA;
19XECOJG-POLSKA1;ECO JELENIA G”RA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XEL-BELCHATOWX;PGE G”RNICTWO I ENERGETYKA KONWENCJONALNA SP”£KA AKCYJNA;
19XENERGAOPERATS;ENERGA-OPERATOR SP”£KA AKCYJNA;
19XENERGIAJASLOH;LOTOS INFRASTRUKTURA SP”£KA AKCYJNA;
19XESK-ROGOWIEC1;ENERGOSERWIS KLESZCZ”W Sp. z o.o.;
19XGA-SIARKOPOLE;"GRUPA AZOTY KOPALNIE I ZAK£ADY CHEMICZNE SIARKI ""SIARKOPOL"" SP”£KA A";
19XJASLO-38-200Z;VEOLIA WSCH”D SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XMONDISWIECIES;MONDI åWIECIE SP”£KA AKCYJNA;
19XOSDCELSAHOPLX;CELSA 'HUTA OSTROWIEC' SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XOSDNHCPECPOZZ;H.CEGIELSKI-ENERGOCENTRUM SP”£KA Z O.O.;
19XPECWKONSKICHF;PRZEDSI BIORSTWO ENERGETYKI CIEPLNEJ W KO—SKICH SP.Z O.O.;
19X-PL-GGL-GL--9;"""Green Lights"" spÛ≥ka z ograniczonπ odpowiedzialnoúciπ";
19X-PL-GGL-GLO-8;Green-Lights ObrÛt spÛ≥ka z ograniczonπ odpowiedzialnoúciπ;
19X----6017----A;KLEPIERRE POLOGNE SP. Z O.O.;
19X-NSKBEARINGSX;NSK BEARINGS POLSKA SP”£KA AKCYJNA;
19X-PL-POTESTIAS;Potestia spÛ≥ka z ograniczonπ odpowiedzialnoúciπ;
19X-PPU-STOREM-2;PrzedsiÍbiorstwo Produkcyjno-Us≥ugowe STOREM Sp. z o.o.;
19X-ZAK-ENERGETL;FIGENE ENERGIA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19X5905398582--9;B£ONIE-PASS STREFA PRZEMYS£OWA PROSTA SP”£KA AKCYJNA;
19XACPRO1-----0Y;ACPRO SP.ZOO 1 SP.K.;
19XEKOMEDIA-PL-I;EKOMEDIA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XFLTKR-------Q;FABRYKA £OØYSK TOCZNYCH - KRAåNIK SA;
19XGEDIA-POLAND8;GEDIA POLAND SP. Z O. O.;
19XKZSZAMO64500I;KOGENERACJA ZACH”D S.A.;
19XOSDN-AHM-SP16;AHM SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XPE-FAKRO-000R;PRZEDSI BIORSTWO ENERGETYCZNE SP. Z O.O.;
19XPL00000ESV2-C;ESV2 Sp. z o.o.;
19XPL00000ESV3-9;ESV3 Sp. z o.o.;
19XPL00000ESV5-3;ESV5 Sp. z o.o.;
19XPL0000ALCHBTN;'ALCHEMIA' SP”£KA AKCYJNA;
19XPL000BAILDON8;WOJEW”DZKIE PRZEDSIEBIORSTWO ROB”T DROGOWYCH SP”£KA AKCYJNA;
19XPPL-OSDN----W;"PRZEDSI BIORSTWO PA—STWOWE ""PORTY LOTNICZE";
19XRCEKOENERGIAN;RCEKOENERGIA SP”£KA Z O.O.;
19XSPOMASZ-T-PLI;TORU—SKIE ZAK£ADY URZ•DZE— M£Y—SKICH SPOMASZ SP”£KA AKCYJNA W UPAD£O;
19XTERAWAT-OSDN5;TERAWAT DYSTRYBUCJA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XKLAK57L6-SW-4;ZAK£AD INSTALACJI ELEKTROENERGETYCZNYCH LESZEK KLAK;
19XNWREPL------A;VEOLIA POWERLINE KACZYCE SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XOSDNEW02910-Y;ENERGETYKA WAGON SP. Z O.O.;
19XPADRESEXPRESV;PAD RES DYSTRYBUCJA ZACH”D SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI;
19XPALSPZOO---1T;PAL SP.ZO.O.;
19XZDNE-SILESIAS;ZAK£AD DOSTAW NOåNIK”W ENERGETYCZNYCH SP”£KA Z O.O.;
19XPL00000ESV6-0;ESV6 Sp. z o.o.;
19XPLCEL00041552;'CIEP£OWNIA' SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XSIDE1SPZOO-1M;SIDE1 SP.ZO.O.;
19XPS-OPERATOR-X;PS OPERATOR SP. Z O.O.;
19XSIDESPZOO--1A;SIDE SP.ZO.O.;
19XSYNTHOSDWORY8;SYNTHOS DWORY 7 spÛ≥ka z ograniczonπ odpowiedzialnoúciπ;
19XZEBLACH-OSDN0;PCC ENERGETYKA BLACHOWNIA SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XZEW-NIEDZICAY;ZESP”£ ELEKTROWNI WODNYCH NIEDZICA SP”£KA AKCYJNA;
19XZTS-IZO-ERG-B;ZAK£AD TWORZYW SZTUCZNYCH IZO-ERG SP ZOO;
19X000000000231Y;ELEKTROCIEP£OWNIA ZIELONA G”RA SP”£KA AKCYJNA;
19XACPRO3-----0I;ACPRO SP.ZOO 3 SP.K.;
19XBRODZIK11111G;PRZEDSI BIORSTWO HANDLOWO-US£UGOWE BRODZIK SP”£KA KOMANDYTOWA;
19XEC-CIESZYN--D;ENERGETYKA CIESZY—SKA SP Z OO;
19XECORIONJASLOU;ORION ENGINEERED CARBONS SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XGEINFRA00000C;GEI INFRASTRUKTURA Sp. z o.o.;
19XGENOVAGE0000Z;GRUPA ENERGIA NOVA GE SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI• SP”£KA K;
19XKB-FADOM-SA-3;KORPORACJA BUDOWLANA FADOM SP”£KA AKCYJNA;
19XMAPOLSKASA23T;MA POLSKA SP”£KA AKCYJNA;
19XOSDN-GORA--1I;AO ENERGIA SP. Z O.O.;
19XOSDN-ZEMLAB-K;ZEM £AB DY SP. Z O.O.;
19XOZCSAWYSOCKAI;OSTROWSKI ZAK£AD CIEP£OWNICZY SP”£KA AKCYJNA;
19XPGEDYSTRYBUCR;PGE DYSTRYBUCJA S.A.;
19XPL000000ZACH5;GRUPA AZOTY ZAK£ADY AZOTOWE CHORZ”W SP”£KA AKCYJNA;
19XZAEL-DYSTR-2O;ZAEL-DYSTRYBUCJA 2 SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19XZAEL-DYSTR-1Q;"""ZAEL-DYSTRYBUCJA 1"" SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•";
19XGEGEPOLNOC016;GRUPA ENERGIA GE P”£NOC SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
19X111100000017R;PROMIKA MARCIN URBAN;
19XUNIMOTENERGO9;UNIMOT TERMINALE SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;
